update_id,stock_id,value,datetime
62,14733798.0,173.71,2024-02-19 23:13:25.629515
63,11750028.0,83.89,2024-02-19 23:13:26.679864
64,718454.0,185.0,2024-02-19 23:13:26.745626
65,14733798.0,174.06,2024-02-19 23:13:26.802665
66,11750028.0,83.55,2024-02-19 23:13:27.894148
67,718454.0,184.26,2024-02-19 23:13:27.977513
68,14733798.0,175.81,2024-02-19 23:13:28.042143
69,11750028.0,84.4,2024-02-19 23:13:29.111962
70,718454.0,182.42,2024-02-19 23:13:29.205316
71,14733798.0,176.52,2024-02-19 23:13:29.277698
72,11750028.0,85.08,2024-02-19 23:13:30.348704
73,718454.0,180.96,2024-02-19 23:13:30.439332
74,14733798.0,175.46,2024-02-19 23:13:30.508738
75,11750028.0,84.74,2024-02-19 23:13:31.579549
76,718454.0,180.6,2024-02-19 23:13:31.648736
77,14733798.0,176.52,2024-02-19 23:13:31.702013
78,11750028.0,84.57,2024-02-19 23:13:32.778011
79,718454.0,179.16,2024-02-19 23:13:32.843198
80,14733798.0,175.81,2024-02-19 23:13:32.908593
81,11750028.0,83.72,2024-02-19 23:13:33.995508
82,718454.0,179.52,2024-02-19 23:13:34.059406
83,14733798.0,174.76,2024-02-19 23:13:34.158746
84,11750028.0,84.57,2024-02-19 23:13:35.213280
85,718454.0,181.33,2024-02-19 23:13:35.272651
86,14733798.0,176.16,2024-02-19 23:13:35.328021
87,11750028.0,84.06,2024-02-19 23:13:36.401259
88,718454.0,182.79,2024-02-19 23:13:36.463174
89,14733798.0,177.22,2024-02-19 23:13:36.520643
90,11750028.0,83.22,2024-02-19 23:13:37.615749
91,718454.0,183.15,2024-02-19 23:13:37.669165
92,14733798.0,175.81,2024-02-19 23:13:37.736454
93,11750028.0,82.39,2024-02-19 23:13:38.819872
94,718454.0,182.79,2024-02-19 23:13:38.897248
95,14733798.0,176.16,2024-02-19 23:13:38.953666
96,11750028.0,81.56,2024-02-19 23:13:40.089221
97,718454.0,181.69,2024-02-19 23:13:40.150621
98,14733798.0,177.58,2024-02-19 23:13:40.200457
99,11750028.0,80.75,2024-02-19 23:13:41.280951
100,718454.0,183.15,2024-02-19 23:13:41.331026
101,11750028.0,81.07,2024-02-19 23:13:42.408979
102,14733798.0,175.81,2024-02-19 23:13:42.487584
103,11750028.0,81.89,2024-02-19 23:13:43.560739
104,718454.0,182.42,2024-02-19 23:13:43.638096
105,14733798.0,177.22,2024-02-19 23:13:43.689522
106,11750028.0,81.73,2024-02-19 23:13:44.779389
107,14733798.0,178.65,2024-02-19 23:13:44.842285
108,11750028.0,82.39,2024-02-19 23:13:45.925526
109,718454.0,183.89,2024-02-19 23:13:45.999898
110,14733798.0,180.09,2024-02-19 23:13:46.051815
111,11750028.0,86.63,2024-02-19 23:13:47.120078
112,11750028.0,87.16,2024-02-19 23:31:30.178639
